item_name,description,station_name,receiving_date,category_name,latitude,longitude
HAND BAG,LADIES HAND BAG WITH WATCH,YASHOBHOOMI DWARKA SECTOR  - 25,18/03/2024,Bags,28.5508323,77.0453073
MEDICINES,HOMEOPATHIC MEDICINES,NOIDA ELECTRONIC CITY,18/03/2024,Miscellaneous,28.6282627,77.3750033
EARBUD,BLACK SINGLE EARBUD WITH CASE,JAMIA MILLIA ISLAMIA,18/03/2024,Electronics,28.55849025,77.28116474
EARBUD,WHITE SINGLE EARBUD WITH CASE,KASHMERE GATE,18/03/2024,Electronics,28.6668141,77.22905486
LUNCH BAG,LUNCH BOX & SPOON,MANDI HOUSE,18/03/2024,Bags,28.6255149,77.2341926
STUDY TABLE,STUDY TABLE,SULTANPUR,18/03/2024,Miscellaneous,26.26047315,82.23805321
ANKLET,SILVER COLOR ANKLET,AIRPORT (T-3),18/03/2024,Personal Accessories,60.3187687,24.9681249
EARBUD CASE,EMPTY EARBUD CASE ONLY,BARAKHAMBA ROAD,18/03/2024,Electronics,28.62747069,77.22904879
LUNCH BAG,WITH 3 STEEL BOX,DELHI AEROCITY,18/03/2024,Bags,28.5487786,77.1207949
BAG,"WITH  BOOKS ,DIARY ,HOLY BOOK,MEDAL,UMBRELLA ,SLIPPERS ,COMB",VAISHALI,18/03/2024,Bags,25.74917025,85.3972164
BLACK POLY BAG,"WITH EMPTY PURSE ,BANGLE SET",JAMA MASJID,18/03/2024,Bags,28.6506822,77.23296096
NECK BAND,RED NECK BAND,JANAKPURI EAST,18/03/2024,Miscellaneous,28.633027,77.086709
WATCH,SMART WATCH,RAMESH NAGAR,18/03/2024,Personal Accessories,28.6527444,77.1316496
MANGALSUTRA,MANGALSUTRA,HARKESH NAGAR OKHLA,17/03/2024,Miscellaneous,28.5431808,77.275351
EARBUDS,PINK EARBUDS,CHIRAG DELHI,17/03/2024,Electronics,28.5381411,77.2280694
CARRY BAG,WITH HALF JACKET,PATEL NAGAR,17/03/2024,Bags,28.6450127,77.1692817
LUNCH BAG,WITH STEEL BOX,RITHALA,17/03/2024,Bags,28.7208064,77.1071813
SHOES,1 PAIR SHOES,LAL QUILA,17/03/2024,Clothing,28.657483,77.2366607
EARBUD,BLACK EARBUD,AIRPORT (T-3),17/03/2024,Electronics,60.3187687,24.9681249
SHOES,1 PAIR FORMAL SHOES,CENTRAL SECRETARIAT,17/03/2024,Clothing,28.6158726,77.2123897
POLY BAG,WITH LADIES TOP,JANPATH,17/03/2024,Bags,28.6240485,77.2192587
BAG,"WITH CLOTHS ,KIRPAN ,CLOTHS ,ADOPTER",VAISHALI,17/03/2024,Bags,25.74917025,85.3972164
FILE,BLUE FILE WITH EDUCATIONAL CERTIFICATE OF MANJU CHAKMA,CHANDNI CHOWK,17/03/2024,Documents,28.6559834,77.2321937
BOTTLE,STEEL BOTTLE,CHANDNI CHOWK,17/03/2024,Household Items,28.6559834,77.2321937
PURSE,"WITH AADHAR,PAN CARD OF NIKITA",MUNDKA,17/03/2024,Personal Accessories,28.6819261,77.0308105
BAG,"WITH CLOTHS ,WIPES PACKET",NOIDA ELECTRONIC CITY,17/03/2024,Bags,28.6282627,77.3750033
POLY BAG,WITH MEDICINES,NOIDA ELECTRONIC CITY,16/03/2024,Bags,28.6282627,77.3750033
PAPER BAG,"WITH T SHIRT,SOCKS",TILAK NAGAR,16/03/2024,Bags,28.6365482,77.0964961
EARPHONE,WIRED EARPHONE,RAJOURI GARDEN,16/03/2024,Electronics,28.6490563,77.1227198
HAMMER & BOTTLE,HAMMER & STEEL BOTTLE,JAHANGIRPURI,16/03/2024,Household Items,28.7259717,77.162658
METRO CARD,METRO CARD,NEW DELHI (Yellow & Airport Line),16/03/2024,Documents,28.6436415,77.2217373
EARBUDS,WHITE EARBUDS,ADARSH NAGAR,16/03/2024,Electronics,28.7165805,77.1704223
GYM BAG,"WITH CHARGER ,BLANKET",DWARKA MOR,16/03/2024,Bags,28.61931,77.0332792
BROWN PURSE,BROWN PURSE WITH CURRENCY,SAMAYPUR BADLI,16/03/2024,Personal Accessories,28.7446411,77.1382701
POLY BAG,WITH 2 PAIRS KURTA & PYJAMA,RITHALA,16/03/2024,Bags,28.7208064,77.1071813
BAG,"WITH CHARGER,LOWERS",SECTOR - 62 NOIDA,16/03/2024,Bags,28.6211447,77.3643493
PAPER BAG,WITH 5 TROUSER,NOIDA ELECTRONIC CITY,16/03/2024,Bags,28.6282627,77.3750033
TROLLY BAG,CLOTHES & QUESTION PAPER OF ADITI YADAV,MILLENNIUM CITY CENTRE GURUGRAM,15/03/2024,Bags,28.4593429,77.0726571
BOOKS,BOOKS,MANDI HOUSE,15/03/2024,Documents,28.6255149,77.2341926
MOBILE,OPPO MOBILE,MANDI HOUSE,15/03/2024,Electronics,28.6255149,77.2341926
POLY BAG,WITH CLOTHS,NEW DELHI (Yellow & Airport Line),15/03/2024,Bags,28.6436415,77.2217373
BLACK POUCH,WITH COSMETICS,NEW DELHI (Yellow & Airport Line),15/03/2024,Miscellaneous,28.6436415,77.2217373
HELMET,BLACK HELMET,SAMAYPUR BADLI,15/03/2024,Household Items,28.7446411,77.1382701
BAG,"WITH HOOKA,TONGS",IFFCO CHOWK,15/03/2024,Bags,28.4723277,77.0724222
TORCH,TORCH WITH COVER,UTTAM NAGAR EAST,15/03/2024,Household Items,28.6248465,77.0652861
EARBUD,BLACK EARBUD,UTTAM NAGAR EAST,15/03/2024,Electronics,28.6248465,77.0652861
BLACK  LADIES PURSE,"WITH CASH ,METRO CARD ,COSMETICS",KAUSHAMBI,15/03/2024,Personal Accessories,25.5342456,81.44935674
WATCH,BIZZO WATCH,VISHWAVIDYALAYA,15/03/2024,Personal Accessories,26.496489,80.267272
POLY BAG,WITH 2 PANTS,LAL QUILA,15/03/2024,Bags,28.657483,77.2366607
WATER BOTTLE,WATER BOTTLE,MILLENNIUM CITY CENTRE GURUGRAM,15/03/2024,Household Items,28.4593429,77.0726571
PANTS,PANTS,DWARKA SECTOR - 21,14/03/2024,Miscellaneous,28.5519218,77.0585605
BOTTLE,STEEL BOTTLE,RITHALA,14/03/2024,Household Items,28.7208064,77.1071813
PASSPORT,OF ABDUL KADIR,AIRPORT (T-3),14/03/2024,Documents,60.3187687,24.9681249
LUNCH BAG,"WITH PINK TIFFIN ,SPECTACLES WITH COVER",SAMAYPUR BADLI,14/03/2024,Bags,28.7446411,77.1382701
BLACK BAG,"WITH CLOTHS ,STEEL TIFFIN BOX",DWARKA MOR,14/03/2024,Bags,28.61931,77.0332792
PLASTIC COVER,"WITH DOCTOR PRESCRIPTION ,INSURANCE PAPER ,LETTERHEAD PAPER,STAMP OF ASHUTOSH BASEDIA",NOIDA ELECTRONIC CITY,14/03/2024,Miscellaneous,28.6282627,77.3750033
MOBILE HOLDER,MOBILE HOLDER,JAMA MASJID,14/03/2024,Electronics,28.6506822,77.23296096
HAND BAG,"with bank cards,charger,tiffin ,cash of Usha tyagi",M.G. ROAD,14/03/2024,Bags,9.9833224,76.2824385
WATCH,FASTRACK WATCH,M.G. ROAD,14/03/2024,Personal Accessories,9.9833224,76.2824385
PEN DRIVE,OF SAKSHI,SAMAYPUR BADLI,14/03/2024,Miscellaneous,28.7446411,77.1382701
BOTTLE,STEEL BOTTLE,GURU DRONACHARYA,14/03/2024,Household Items,28.48200425,77.10221882
JACKET,BLUE JACKET,YASHOBHOOMI DWARKA SECTOR  - 25,13/03/2024,Clothing,28.5508323,77.0453073
SLEEPING BAG,SLEEPING BAG,YASHOBHOOMI DWARKA SECTOR  - 25,13/03/2024,Bags,28.5508323,77.0453073
BAG,"WITH CLOTHS ,PAN CARD,AADHAR,BANK CARDS,PASSBOOK OF RAJU BAHADUR",RAJIV CHOWK,13/03/2024,Bags,28.6327786,77.2196985
PURSE,LADY PURSE WITH MOBILE REDMI,RAMAKRISHNA ASHRAM MARG,13/03/2024,Personal Accessories,28.6392436,77.2085787
LUNCH BOX,CELLO LUNCH BOX WITH 2 CONTAINERS,DWARKA SECTOR - 21,13/03/2024,Household Items,28.5519218,77.0585605
LUNCH BOX,BOROSIL LUNCH BOX WITH 2 CONTAINERS,DWARKA SECTOR - 21,13/03/2024,Household Items,28.5519218,77.0585605
POWER BANK,POWER BANK,SUBHASH NAGAR,13/03/2024,Electronics,28.6404628,77.1052347
LUNCH BAG,"WITH PLASTIC BOTTLE,DIARY,GLASS TIFFINS",SAMAYPUR BADLI,13/03/2024,Bags,28.7446411,77.1382701
BAG,"WITH CLOTHS,AADHAR OF PRADUM KUMAR",SAMAYPUR BADLI,13/03/2024,Bags,28.7446411,77.1382701
LUNCH BOX,TREO LUNCH BOX,SAMAYPUR BADLI,13/03/2024,Household Items,28.7446411,77.1382701
POWER BANK,BLACK POWER BANK,AIRPORT (T-3),13/03/2024,Electronics,60.3187687,24.9681249
BLACK BAG,"MOBILE CHARGER , SMART WATCH , SPECTACLES & SUNGLASS , EARBUD & DOCUMENTS OF MR. SACHIN KUMAR",SAROJINI NAGAR,13/03/2024,Bags,28.575817,77.1980786
POLY BAG,LADIES CLOTHES & MEDICINE GEL,SAROJINI NAGAR,13/03/2024,Bags,28.575817,77.1980786
UMBRELLA & BOTTLE,GREEN UMBRELLA & STEEL BOTTLE,KAROL BAGH,13/03/2024,Household Items,28.6529982,77.1890227
GREEN SLING BAG,"WITH CASH ,SUNGLASS,SPECTACLES ,COSMETICS,",DWARKA SECTOR - 21,12/03/2024,Bags,28.5519218,77.0585605
EARBUD,EARBUD,AIRPORT (T-3),12/03/2024,Electronics,60.3187687,24.9681249
NECKBAND,NECKBAND,AIRPORT (T-3),12/03/2024,Miscellaneous,60.3187687,24.9681249
SCISSOR,WITH WOODEN RING,NOIDA SECTOR-18,12/03/2024,Miscellaneous,28.5707583,77.3260756
EARBUDS,BLACK EARBUDS,OKHLA BIRD SANCTUARY,12/03/2024,Electronics,28.5569866,77.3090031
BOTTLE,STEEL BOTTLE,NAWADA,12/03/2024,Household Items,24.8173249,85.51790847
EARBUDS,WHITE EARBUDS,NARAINA VIHAR,12/03/2024,Electronics,28.6243852,77.1364438
PURSE,"WITH CASH, PAN CARD,AADHAR ,BANK CARD OF PAWAN SINGH",M.G. ROAD,12/03/2024,Personal Accessories,9.9833224,76.2824385
CARTOON  BOX,WITH METALLIC PARTS,RAJIV CHOWK,12/03/2024,Miscellaneous,28.6327786,77.2196985
POLY BAG,"WITH STEEL BOTTLE,LOWER,SLIPPERS",KAROL BAGH,12/03/2024,Bags,28.6529982,77.1890227
HELMET,BLACK HELMET,SAMAYPUR BADLI,12/03/2024,Household Items,28.7446411,77.1382701
MANGALSHUTRA,MANGALSHUTRA,UTTAM NAGAR WEST,11/03/2024,Miscellaneous,28.621757,77.0557122
BOTTLE & EARBUD CASE,"STEEL BOTTLE ,EARBUD CASE",CHHATARPUR,11/03/2024,Electronics,,
BAG,BROWN BAG WITH CLOTHS,NOIDA CITY CENTRE,11/03/2024,Bags,28.5747334,77.3561638
WATCH,BLACK WATCH,NOIDA CITY CENTRE,11/03/2024,Personal Accessories,28.5747334,77.3561638
BLACK BAG,"WITH CLOTHS ,HORLICKS,SOAPS,HAIR OIL,FLOWER POT",NOIDA ELECTRONIC CITY,11/03/2024,Bags,28.6282627,77.3750033
PAN CARD,BANK CARD OF DEVENDER KUMAR,DWARKA SECTOR - 13,11/03/2024,Documents,28.597009,77.0335407
SLEEPING BAG,SLEEPING BAG,YASHOBHOOMI DWARKA SECTOR  - 25,11/03/2024,Bags,28.5508323,77.0453073
BAG WITH,"POWER BANK,CHARGER,CLOTHES",YASHOBHOOMI DWARKA SECTOR  - 25,11/03/2024,Bags,28.5508323,77.0453073
PURSE WITH,ID OF CHAND SINGH,AIRPORT (T-3),11/03/2024,Personal Accessories,60.3187687,24.9681249
BOTTLE,BOTTLE,AIRPORT (T-3),11/03/2024,Household Items,60.3187687,24.9681249
PURSE WITH,"VI , AADHAR & CASH OF FANISH KHULBE",AIRPORT (T-3),11/03/2024,Personal Accessories,60.3187687,24.9681249
CARRYBAG WITH,TOWEL & BEDSHEET,SHIVAJI STADIUM,11/03/2024,Bags,28.6288963,77.2113218
BAG,EMPTY BAG,NOIDA SECTOR-18,11/03/2024,Bags,28.5707583,77.3260756
PURSE,"WITH BANK CARD ,AADHAR OF ABHILASHA",SAKET,11/03/2024,Personal Accessories,28.521168,77.2022237
LUNCH BAG,"WITH CHARGER,EARBUDS,TIFFIN",NAWADA,11/03/2024,Bags,24.8173249,85.51790847
BAG WITH,"SANDLE,PINK DRESS & CHARGER",HARKESH NAGAR OKHLA,10/03/2024,Bags,28.5431808,77.275351
BAG WITH,SUIT,KASHMERE GATE,10/03/2024,Bags,28.6668141,77.22905486
PAPER BAG WITH,OLD CLOTHES,IFFCO CHOWK,10/03/2024,Bags,28.4723277,77.0724222
MOBILE,MOTOROLA  MOBILE,JAMA MASJID,10/03/2024,Electronics,28.6506822,77.23296096
POLY BAG,"WITH WATCH,LOWER,SHIRT",JAMA MASJID,10/03/2024,Bags,28.6506822,77.23296096
PURSE,"WITH VOTER ID ,PAN CARD,AADHAR OF RAVI KUMAR",JAMA MASJID,10/03/2024,Personal Accessories,28.6506822,77.23296096
BAG,SAREE,MANSAROVAR PARK,10/03/2024,Bags,28.675385,77.3008678
TROLLEY BAG,"CLOTHES , CHARGER & SPEAKER",BAHADURGARH CITY,10/03/2024,Bags,28.6907783,76.9354807
BAG,"WITH CLOTHS,CHARGER,HOT CASE ,KNIFE",AIRPORT (T-3),10/03/2024,Bags,60.3187687,24.9681249
TROPHY,CWA CUP,MANDI HOUSE,10/03/2024,Miscellaneous,28.6255149,77.2341926
GREY SUIT CASE,WITH CLOTHS,DWARKA MOR,10/03/2024,Miscellaneous,28.61931,77.0332792
WATCH,FASTRACK WATCH,DWARKA MOR,10/03/2024,Personal Accessories,28.61931,77.0332792
BAG,"WITH SUNGLASS,SPECTACLES OF SUKHSAGAR",DWARKA MOR,10/03/2024,Bags,28.61931,77.0332792
CHAIN,CHAIN WITH PENDANT,MILLENNIUM CITY CENTRE GURUGRAM,09/03/2024,Personal Accessories,28.4593429,77.0726571
BLUE CARRY BAG,WITH SPOON,AIRPORT (T-3),09/03/2024,Bags,60.3187687,24.9681249
BANK CARD,AXIS BANK CARD OF AVNIT NEGI,BOTANICAL GARDEN,09/03/2024,Documents,55.84484725,37.63824367
WALL PAPER SAMPLE BOOK,WALL PAPER SAMPLE BOOK,KASHMERE GATE,09/03/2024,Miscellaneous,28.6668141,77.22905486
WAIST BAG,"WITH EARBUDS ,CHARGER",SECTOR - 52 NOIDA,09/03/2024,Bags,28.5885198,77.36890648
EAR RING,EAR RING,"ROHINI SECTOR - 18, 19",09/03/2024,Personal Accessories,28.73635755,77.13563584
POLYBAG,LADIES CLOTHES,SAROJINI NAGAR,09/03/2024,Bags,28.575817,77.1980786
POLY BAG,LADIES CLOTHES,SAROJINI NAGAR,09/03/2024,Bags,28.575817,77.1980786
WIND VISOR,1 PAIR WIND VISOR,GOVIND PURI,08/03/2024,Miscellaneous,28.5445521,77.2642761
POLY BAG,"WITH BLOUSE,CLOTH PIECE",GOVIND PURI,08/03/2024,Bags,28.5445521,77.2642761
BAG,"WITH CLOTHS,MANGALSUTRA",DWARKA,08/03/2024,Bags,22.2424747,68.9671448
WATER BOTTLE,STEEL WATER BOTTLE,NEW DELHI (Yellow & Airport Line),08/03/2024,Household Items,28.6436415,77.2217373
BLACK BAG,CLOTHES & PERFUME,MALVIYA NAGAR,08/03/2024,Bags,28.5339201,77.2124474
POLYBAG,BLACK JACKET,TIS HAZARI,08/03/2024,Bags,28.6671626,77.2166306
COAT COVER,"COAT , PANT , TIE & SHIRT",MODEL TOWN,08/03/2024,Clothing,28.707334,77.1885231
LUNCH BOX,LUNCH BOX,SHASTRI PARK,08/03/2024,Household Items,28.6684339,77.2505301
WATCH,MALE WATCH,KAROL BAGH,08/03/2024,Personal Accessories,28.6529982,77.1890227
WATER BOTTLE,STEEL WATER BOTTLE,IFFCO CHOWK,08/03/2024,Household Items,28.4723277,77.0724222
BOTTLE,STEEL BOTTLE,AIRPORT (T-3),08/03/2024,Household Items,60.3187687,24.9681249
PURSE,"WITH BANK CARDS,DL,PAN CARD OF ARIF ALI",AIRPORT (T-3),08/03/2024,Personal Accessories,60.3187687,24.9681249
SLING BAG,"WITH SUNGLASS ,BANGLES",AIRPORT (T-3),08/03/2024,Bags,60.3187687,24.9681249
SHOES,1 PAIR LADIES SHOES,SHAHDARA,08/03/2024,Clothing,28.6758661,77.29850777
POLY BAG,WITH WALL CLOCK & CELLS,YASHOBHOOMI DWARKA SECTOR  - 25,08/03/2024,Bags,28.5508323,77.0453073
EARBUDS,BLUE EARBUDS,NEHRU ENCLAVE,08/03/2024,Electronics,28.5460584,77.2515057
POLY BAG,"WITH BELT ,WALLET",LAL QUILA,08/03/2024,Bags,28.657483,77.2366607
PURSE,"WITH CASH ,AADHAR ,BANK CARD,PAN CARD OF AAKANSHA",NOIDA ELECTRONIC CITY,08/03/2024,Personal Accessories,28.6282627,77.3750033
PURSE,"WITH BANK CARDS ,AADHAR ,DL  OF HARENDER YADAV",MAYUR VIHAR -I,08/03/2024,Personal Accessories,28.6036425,77.2909319
BAG,BAG,AZADPUR,08/03/2024,Bags,28.7070448,77.1803722
BOTTLE & TIFFIN,STEEL BOTTLE & STEEL TIFFIN,MILLENNIUM CITY CENTRE GURUGRAM,07/03/2024,Household Items,28.4593429,77.0726571
EARBUDS CASE,WHITE EARBUDS CASE,EAST VINOD NAGAR-MAYUR VIHAR -II,07/03/2024,Electronics,28.6200437,77.3054069
BLUE BAG,OLD CLOTHES,PANDIT SHREE RAM SHARMA,07/03/2024,Bags,28.689281,76.9511988
LUNCH BOX,LUNCH BOX,PANDIT SHREE RAM SHARMA,07/03/2024,Household Items,28.689281,76.9511988
JUTE BAG,LUNCH BOX,SAMAYPUR BADLI,07/03/2024,Bags,28.7446411,77.1382701
CARRY BAG,SHIRT & DUPATTA,RITHALA,06/03/2024,Bags,28.7208064,77.1071813
EARBUDS,BLACK EARBUDS,RITHALA,06/03/2024,Electronics,28.7208064,77.1071813
LUNCH BAG,"WITH PLASTIC BOX -3,KEY",OKHLA BIRD SANCTUARY,06/03/2024,Bags,28.5569866,77.3090031
STETHOSCOPE,STETHOSCOPE,DASHRATHPURI,06/03/2024,Electronics,28.6018751,77.0823561
POLYBAG,MULTICOLOR SAREE,NEW DELHI (Yellow & Airport Line),06/03/2024,Bags,28.6436415,77.2217373
MOBILE,KEYPAD MOBILE,NEW DELHI (Yellow & Airport Line),06/03/2024,Electronics,28.6436415,77.2217373
POLY BAG,SHIRT & BURKHA,JAMA MASJID,06/03/2024,Bags,28.6506822,77.23296096
CARRY BAG,WITH CHUNNI,LAJPAT NAGAR,06/03/2024,Bags,28.5660924,77.2432851
BAG,"WITH ID CARD,DIARY,RESUME,FLASK,PENDRIVE,WATCH OF MICHEL SURJEET",SECTOR - 59 NOIDA,06/03/2024,Bags,28.6080248,77.36762827
SUN GLASSES,SUN GLASSES,JANPATH,06/03/2024,Personal Accessories,28.6240485,77.2192587
PURSE,"WITH CASH ,METRO CARD,COLLEGE ID OF CHHAVI",DWARKA SECTOR - 14,06/03/2024,Personal Accessories,28.6022218,77.0259765
CARRY BAG,LUNCH BOX,SAMAYPUR BADLI,06/03/2024,Bags,28.7446411,77.1382701
EARPHONE,EARPHONE,NEW DELHI (Yellow & Airport Line),05/03/2024,Electronics,28.6436415,77.2217373
BAG WITH,"BOOK,CHARGER,CLOTHES,REMOTE,LIGHT,MASSAGER",AIRPORT (T-3),05/03/2024,Bags,60.3187687,24.9681249
BLACK SLING BAG WITH,"CHARGER,CAP & BANDANA",AIRPORT (T-3),05/03/2024,Bags,60.3187687,24.9681249
BOTTLE,BOTTLE,AIRPORT (T-3),05/03/2024,Household Items,60.3187687,24.9681249
CARD HOLDER,"WITH CASH ,METRO CARD",RITHALA,05/03/2024,Documents,28.7208064,77.1071813
CARRY BAG,WITH LADIES SUIT,DWARKA MOR,05/03/2024,Bags,28.61931,77.0332792
POLY BAG,WITH MOBILE COVERS,AZADPUR,05/03/2024,Bags,28.7070448,77.1803722
WATER BOTTLE,STEEL WATER BOTTLE,TIS HAZARI,05/03/2024,Household Items,28.6671626,77.2166306
STEEL CONTAINER,STEEL CONTAINER,RAJIV CHOWK,05/03/2024,Miscellaneous,28.6327786,77.2196985
EARBUDS CASE,BLACK EARBUD CASE,DASHRATHPURI,05/03/2024,Electronics,28.6018751,77.0823561
BAG,"WITH APPLE LAPTOP ,ADOPTER ,METRO CARD ,CLOTH OF SATYAM SHARMA",UTTAM NAGAR WEST,05/03/2024,Bags,28.621757,77.0557122
HELMET,HELMET,SHAHDARA,05/03/2024,Household Items,28.6758661,77.29850777
PURSE,"WITH PAN CARD ,AADHAR,BANK CARDS OF DEEPAK KUMAR JHA",LAL QUILA,05/03/2024,Personal Accessories,28.657483,77.2366607
PURSE,"WITH CASH ,METRO CARD,BANK CARD OF RAGINI ARORA",BARAKHAMBA ROAD,04/03/2024,Personal Accessories,28.62747069,77.22904879
BAG WITH,"CLOTHES,CHARGER,LOCK & DOCUMENT OF JEETENDRA",SAMAYPUR BADLI,04/03/2024,Bags,28.7446411,77.1382701
BAG WITH,"PASSPORT,PAN,AADHAR,PASSBOOK & CHEQUE BOOK OF DINESH,ASIF,SITARAM & BUDHARAM",MILLENNIUM CITY CENTRE GURUGRAM,04/03/2024,Bags,28.4593429,77.0726571
PURSE,WITH FOREIGN CURRENCY VOTER ID OF DEEP JOT KAUR,DWARKA SECTOR - 21,04/03/2024,Personal Accessories,28.5519218,77.0585605
KEYS,BUNCH OF KEYS,SHIVAJI STADIUM,04/03/2024,Household Items,28.6288963,77.2113218
HAND BAG,WITH WHITE HOSPITAL CLOTHS,SHIVAJI STADIUM,04/03/2024,Bags,28.6288963,77.2113218
PAYAL,SILVER COLOR PAYAL,RAMESH NAGAR,04/03/2024,Miscellaneous,28.6527444,77.1316496
PURSE,"WITH AADHAR,PAN CARD,VOTER ID,BANK CARD OF AYUSH KUMAR PALAI",RAJOURI GARDEN,04/03/2024,Personal Accessories,28.6490563,77.1227198
POLYBAG WITH,"SHOES,TOP,KURTI & PANT",SAROJINI NAGAR,04/03/2024,Bags,28.575817,77.1980786
CARRY BAG WITH,CLOTH COVER & CELL,NANGLOI RAILWAY STATION,04/03/2024,Bags,28.6822009,77.0562463
BLACK WALLET HAVING,"AADHAR,DL,BANK CARD OF SURAN KONWAR",RAJIV CHOWK,04/03/2024,Personal Accessories,28.6327786,77.2196985
PASSPORT,OF CHAVI GUPTA,CENTRAL SECRETARIAT,04/03/2024,Documents,28.6158726,77.2123897
EARBUDS,BLACK EARBUDS,MANDI HOUSE,04/03/2024,Electronics,28.6255149,77.2341926
POLY BAG,WITH JEANS PANT,NOIDA SECTOR-18,04/03/2024,Bags,28.5707583,77.3260756
MOBILE,VIVO MOBILE,KIRTI NAGAR,04/03/2024,Electronics,28.6545409,77.1513605
LUNCH BAG,WITH 3 PLASTIC BOX & STEEL BOTTLE,KASHMERE GATE,04/03/2024,Bags,28.6668141,77.22905486
CURRENCY,CURRENCY,NEW DELHI (Yellow & Airport Line),03/03/2024,Miscellaneous,28.6436415,77.2217373
POLY BAG,CHUNNI,LAL QUILA,03/03/2024,Bags,28.657483,77.2366607
SHIRT,BLACK SHIRT,GREEN PARK,03/03/2024,Clothing,51.5066192,-0.1429113
BLACK PURSE,"WITH AADHAR CARD,FOREIGN CURRENCY OF HARSHIT KACHWAYA",DHANSA BUS STAND,03/03/2024,Personal Accessories,28.6119086,76.9785264
BAG,"WITH MOBILE CHARGER,POWER BANK,DATA CABLE",CHANDNI CHOWK,03/03/2024,Bags,28.6559834,77.2321937
SHOES,SHOES,LAL QUILA,03/03/2024,Clothing,28.657483,77.2366607
PURSE WITH,"VI,DL,CANTEEN CARD,BANK CARD,AADHAR OF KULDEEP SINGH",RAJIV CHOWK,03/03/2024,Personal Accessories,28.6327786,77.2196985
